id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,What are the other source of water you depend upon?,How do you deal with the agricultural waste generated from the farm land?,What are the other mechanism used to discard the waste from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the other record mechanisms?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,What is the name of the organization?,Are you using digital technologies that can be used in the farm land?,For what purpose are you using digital tools here at the farm land?,Where do you procure inputs required for the farm land?,What other sources are used to get needed inputs?,What are different chemical inputs used in the farm land?,What other chemical inputs are used in the farm land?,What is the type of covering material used in the farm land?,What other type of covering material are used in the farm land?,What is the water source used for irrigation mechanism?,What other source of water do you depend upon for irrigation?,What is the type of irrigation mechanism used in the farm land?,What are other mechanism used for irrigation?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
1545,2019-02-25 06:27:55,Agriculture,Farm land,khepsim mamai,Private,In Use,Changlang,Changlang,Changlang (CT),27.12909,95.70616,Pending,https://smartvillage.imagetrekk.com/storage/images/g9dFaURSNdKaUpwrnIY7tw85WtSrPQH3j0KE3QsO.jpeg?asset_id=1545,Village name is phangtip,1,Kacha Road,6,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""Others""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Others,none,"[""Others""]",2000,5,arecanut,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""2 Wheeler""]"
1554,2019-02-25 07:01:42,Agriculture,Farm land,khepsim mamai,Private,In Use,Changlang,Changlang,Changlang (CT),27.12779,95.70678,Approved,https://smartvillage.imagetrekk.com/storage/images/v8CfOeQbZ16hqdH9VaX3M1MjRHHLYleidXXaUUES.jpeg?asset_id=1554,village name is Phangtip,1,Kacha Road,6,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,None,,None,,Rainfed,,Others,none,"[""Others""]",3000,30,cardamom and arecanut,>300,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Head Load"",""2 Wheeler"",""Mini Luggage Transport Vehicle""]"
1714,2019-02-27 04:28:48,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97024,95.50519,Approved,https://smartvillage.imagetrekk.com/storage/images/4OUVXJ5IfkBH3To81a2Y0OYVPRfQlk3XRDj76yKm.jpeg?asset_id=1714,fern leaf plantations,4,Pakka Road,0,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,None,,No,,No,,None,,,,,,,Others,locally manage,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Drip Irrigation,,"[""Others""]",0,1200,fern leaf for roofing,1-100,None,None,None,None,"[""None""]","[""Head Load"",""2 Wheeler"",""Sumo\/Tracker"",""Tempo\/Auto"",""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle"",""Others""]"
1716,2019-02-27 04:42:36,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97011,95.50511,Approved,https://smartvillage.imagetrekk.com/storage/images/6zASAgSI3iYWZCqxSTD8F0MaBuU5oS7D3uV5Ci6P.jpeg?asset_id=1716,Cardamom garden,1,Footway,0.005,4G+ Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Others,Register,"[""None""]",No,,No,,Local Supplier,,None,,None,,Ground Water,,Others,Gound water,"[""Village Meeting ""]",500,10,Cardamom,201-300,None,None,None,None,"[""Others""]","[""Head Load""]"
1717,2019-02-27 04:54:23,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97027,95.50496,Approved,https://smartvillage.imagetrekk.com/storage/images/doF0xlfI3osPJ29o9TrTspgHm5Fa7hdEeeFwjkAn.jpeg?asset_id=1717,Fern leaf plantation3,1,Footway,0.005,4G+ Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Others,Register,"[""None""]",No,,No,,Local Supplier,,None,,None,,Ground Water,,Others,Ground water,"[""Village Meeting ""]",400,5,Fern leaf,1-100,None,None,None,None,"[""Others""]","[""Head Load""]"
1718,2019-02-27 05:00:13,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97062,95.5052,Approved,https://smartvillage.imagetrekk.com/storage/images/JGYWdR8x2NS85J0RmbuZfxJ6PrK5pFcFR0Pji7ib.jpeg?asset_id=1718,Bamboo plantations,4,Pakka Road,0,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Others,locally manage,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Others,ground water,"[""Others""]",0,12000,bamboo,1-100,None,None,None,None,"[""Farmers""]","[""Head Load"",""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle""]"
1719,2019-02-27 05:02:06,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97086,95.50499,Approved,https://smartvillage.imagetrekk.com/storage/images/NRSecRyDaMU04I4rd89mUAc5hJzjsAJ9p8B3dnrU.jpeg?asset_id=1719,Fern leaf & banana plantation,1,Footway,0,4G+ Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,None,,None,,Ground Water,,Others,Ground water,"[""Village Meeting ""]",400,6,Fern leaf & banana,1-100,None,None,None,None,"[""Others""]","[""Head Load""]"
1721,2019-02-27 05:17:43,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97052,95.50478,Approved,https://smartvillage.imagetrekk.com/storage/images/vvH8VdkqiXWOKKmOtukcKUNjzNdvxgUJOw9My1X2.jpeg?asset_id=1721,fern leaf plantations,4,Pakka Road,0,4G+ Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""Marketing Support""]",No,,No,,None,,None,,None,,Rainfed,,Others,locally manage,"[""Village Meeting ""]",1000,12500,fern leaf for roofing,1-100,None,None,None,None,"[""Farmers""]","[""Head Load"",""Sumo\/Tracker"",""Tempo\/Auto"",""2 Wheeler"",""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle""]"
1733,2019-02-27 05:51:20,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97212,95.50378,Rejected,https://smartvillage.imagetrekk.com/storage/images/DoMgd1yaZ4dA0IE0MFIdaXze4jkFbAOwr9V5F6Jp.jpeg?asset_id=1733,fern leaf plantations 5,4,Pakka Road,0,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Ground Water,,Burnt within the premises,,Yes,1,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Others,locally,"[""Village Meeting ""]",100,500,fern leaf for roofing purpose,1-100,None,None,None,None,"[""Farmers""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle""]"
1738,2019-02-27 06:07:38,Agriculture,Farm land,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97216,95.50355,Approved,https://smartvillage.imagetrekk.com/storage/images/yuJKPM1tNHvo0g1s2chOtJ9NZUfh5BhJrIf8qLB2.jpeg?asset_id=1738,cardamom plantations 2,4,Pakka Road,0,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Others,locally manage,"[""Village Meeting ""]",0,5,500,>300,None,None,None,None,"[""Farmers"",""Govt. Agencies"",""Others""]","[""Head Load"",""2 Wheeler""]"
1750,2019-02-27 07:34:39,Agriculture,Farm land,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13482,95.74435,Approved,https://smartvillage.imagetrekk.com/storage/images/JCFdekevj91tlqkPbZ4NNj4JRftBOaTUitBfFWuH.jpeg?asset_id=1750,Village name is New Changlang,1,Kacha Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Others,nil,"[""Others""]",3000,150,tea leaf,1-100,Others,Others,Others,Others,"[""Farmers""]","[""Mini Luggage Transport Vehicle""]"
1838,2019-02-28 18:39:07,Agriculture,Farm land,takam nilly likha,Private,In Use,Lower Subansiri,Pistana,Did,27.60138,93.67048,Pending,https://smartvillage.imagetrekk.com/storage/images/dVj14WcRStKLWk8dy4nwk8D6EN2Dns2NRz6ugfyf.jpeg?asset_id=1838,need support from government to increase the production,1,Kacha Road,1,Nil,,,,,,,"Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""Support via Subsidies""]",No,,No,,Local Supplier,,None,,Lath/Bamboo,,River/Stream,,Canal Irrigation,,"[""Village Meeting ""]",5000,600,Paddy/ Rice,1-100,None,None,None,None,"[""Farmers""]","[""Head Load""]"
1894,2019-03-02 10:30:12,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.46413,93.77543,Approved,https://smartvillage.imagetrekk.com/storage/images/meUc7gTYggynwt9oRxDMOst0BEMIpCeqCgTnP2bD.jpeg?asset_id=1894,orange garden,2,Kacha Road with Block Point,2,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,River or Canal,,None,,Yes,>7,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,nil,"[""Village Meeting ""]",5000,20,orange,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Head Load""]"
1896,2019-03-02 10:30:15,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.46365,93.77549,Approved,https://smartvillage.imagetrekk.com/storage/images/sfMJ6pDrDZXV9bufWRn7AuE6fc1bkJ6U9eIpFapl.jpeg?asset_id=1896,paddy field,3,Kacha Road with Block Point,3,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2,River or Canal,,Discarded in Open Field,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,River/Stream,,Canal Irrigation,,"[""Others""]",20000,500,Rice,1-100,None,None,None,None,"[""None""]","[""Mini Luggage Transport Vehicle"",""Head Load"",""2 Wheeler""]"
1897,2019-03-02 10:30:15,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.46113,93.77101,Approved,https://smartvillage.imagetrekk.com/storage/images/DYYSEKtrJ19TS8PcZ7GuahmXRvzt2NIPrQPEWWKR.jpeg?asset_id=1897,small bamboo,1,Kacha Road with Block Point,2,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5,Others,nil,Burnt within the premises,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,nil,"[""Others""]",10000,20000,small bamboo,1-100,None,None,None,None,"[""Others""]","[""Head Load"",""Mini Luggage Transport Vehicle""]"
1898,2019-03-02 10:30:15,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.45831,93.77803,Approved,https://smartvillage.imagetrekk.com/storage/images/09HWLmvgNj2DDy0haS2B03kSX1FVXi5CHYY48ZZ1.jpeg?asset_id=1898,cardamom garden,3,Kacha Road with Block Point,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Others,nil,Burnt within the premises,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,only rain water,"[""Others""]",30000,600,large cardamom,201-300,None,None,None,None,"[""None"",""Others""]","[""Head Load""]"
1899,2019-03-02 10:30:17,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.4583,93.77793,Approved,https://smartvillage.imagetrekk.com/storage/images/yfdFjWQ54EsdzM98ME8mDChkZhC4qRCZ6cUUCcRH.jpeg?asset_id=1899,paddyfield,3,Kacha Road with Block Point,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5,Others,stream water,Burnt within the premises,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,nil,"[""Others""]",30000,2000,Rice,1-100,None,None,None,None,"[""None""]","[""Head Load"",""Mini Luggage Transport Vehicle""]"
1900,2019-03-02 10:30:18,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.46258,93.77043,Approved,https://smartvillage.imagetrekk.com/storage/images/jZQDiOAPwBS0idyA98m3mhWz4lFjWrkpGSLm4tuu.jpeg?asset_id=1900,large bamboo,5,Kacha Road with Block Point,1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Others,nil,Burnt within the premises,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,nil,"[""Others""]",2000,1000,large bamboo,1-100,None,None,None,None,"[""None""]","[""Head Load"",""Mini Luggage Transport Vehicle""]"
1901,2019-03-02 10:30:18,Agriculture,Farm land,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.45885,93.77648,Approved,https://smartvillage.imagetrekk.com/storage/images/YkW1Bt2n601YsXhW46N1C57WuIEcX9iiLNTXSkbE.jpeg?asset_id=1901,orange garden,1,Kacha Road with Block Point,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Others,rain water,Burnt within the premises,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,rain water,"[""Others""]",15000,100,orange garden,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
2074,2019-03-04 09:44:17,Agriculture,Farm land,kago yubbey,Private,In Use,Lower Subansiri,Ziro,Hong,27.51497,93.83908,Approved,https://smartvillage.imagetrekk.com/storage/images/fXZv4LsUvra2HFEsUPJof31ucS3JoRGsCtlo9oJ4.jpeg?asset_id=2074,good working,3,Kacha Road,9,2G Reliable,"[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",9,Water from Government,,Burnt within the premises,,Yes,7,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""Financial Support"",""Support via Schemes""]",No,,No,,Local Supplier,,None,,None,,Others,supply water,Others,labour,"[""Others""]",1,50,seasonally veg,1-100,Others,Others,Others,Others,"[""Others"",""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
2357,2019-03-10 09:13:16,Agriculture,Farm land,hibu yagam,Private,In Use,Papumpare,Doimukh,Mani,27.17767,93.77191,Approved,https://smartvillage.imagetrekk.com/storage/images/sW5QklchM0VVj9gYWPF2xGLxXyQ22kY4JPlQP1es.jpeg?asset_id=2357,mani bamboo garden,2,Pakka Road,1,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2,Spring Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,Lath/Bamboo,,Rainfed,,Others,jungle cutting,"[""Others""]",10000,6000,tree plantation,>300,None,None,None,None,"[""None"",""Farmers""]","[""Huge Luggage Transport Vehicle""]"
2371,2019-03-11 03:17:05,Agriculture,Farm land,chow arvind jeinow,Community,In Use,Namsai,Namsai,Kaisu L/C,27.66086,95.99221,Approved,https://smartvillage.imagetrekk.com/storage/images/QCm8N4IIojXULFEShFEt2NXUXmLQGhEnI9DYuJk7.jpeg?asset_id=2371,Each household posses a certain amount of land.Total land-80 hectares,2,Pakka Road,0.5,3G Unreliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",70,Others,Rain water,Discarded in Open Field,,No,,No,,None,,,,,,,Others,Traditional mechanism,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting ""]",1000,72000,Rice,1-100,None,None,None,None,"[""Others""]","[""Tempo\/Auto""]"
2486,2019-03-16 08:50:46,Agriculture,Farm land,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13642,95.7477,Approved,https://smartvillage.imagetrekk.com/storage/images/UOoVuZmMl5pTXemHeaOCiUtwVtacagPx1IC6T1rt.jpeg?asset_id=2486,village name is new changlang,1,Kacha Road,4,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Spring Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Others,own,None,,None,,Rainfed,,Others,rain water,"[""Others""]",4000,1800,Paddy,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""None""]","[""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle"",""Head Load""]"
2522,2019-03-18 05:16:18,Agriculture,Farm land,chow arvind jeinow,Community,In Use,Namsai,Namsai,Kaisu L/C,27.66086,95.99221,Rejected,https://smartvillage.imagetrekk.com/storage/images/1twMqPl0alfAxOAUNvwT4KIhG1xznQlu560FsUzd.jpeg?asset_id=2522,Each household posses a certain amount of land.Total land-80 hectares,2,Pakka Road,0.5,3G Unreliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",70,Others,Rain water,Discarded in Open Field,,No,,No,,None,,,,,,,Others,Traditional mechanism,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting ""]",1000,72000,Rice,1-100,None,None,None,None,"[""Others""]","[""Tempo\/Auto""]"
2525,2019-03-18 05:33:45,Agriculture,Farm land,chow arvind jeinow,Community,In Use,Namsai,Namsai,Kaisu L/C,27.66086,95.99221,Rejected,https://smartvillage.imagetrekk.com/storage/images/lIJCO7InyxJYIk4l19uedwT03Yrkd8Wg3jMUgnqD.jpeg?asset_id=2525,Each household posses a certain amount of land.Total land-80 hectares,2,Pakka Road,0.5,3G Unreliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",70,Others,Rain water,Discarded in Open Field,,No,,No,,None,,,,,,,Others,Traditional mechanism,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting ""]",1000,72000,Rice,1-100,None,None,None,None,"[""Others""]","[""Tempo\/Auto""]"
